No,Vessel Name,Vessel Type ,Build in (year),Age(year),Gross Tonnage,Summer Deadweight (t),Length (m),Width (m),Accident Risk
1,NORDIKA DESGAGNES,General Cargo Ship,2010,14,	12974,16953,143,23,High
2,KYBELE HORIZON,Bulk Carrier,2019,5,122967,243377,320,55,Low
3,TUVAQ W.,Chemical/Oil Products Tanker,2012,12,5422,7595,113,18,High
4,ISLAND SKY,Passenger (Cruise) Ship,1992,32,4200,695,91,15,Low
5,FULDABORG,General Cargo Ship ,2012,12,8911,14592,143,17,High
6,CMA CGM RIVOLI,Container Ship,2021,3,236583,221251,400,61,Low
7,QIKIQTAALUK W.,Chemical/Oil Products Tanker,2011,13,13097,19998,150,23,High
8,MSC TESSA,Container Ship,2023,1,236078,272373,400,62,Low
9,PALANCA RIO,Bitumen Tanker,2016,8,10830,14911,133,23,High
10,EVER A LOT,Container Ship,2022,2,236228,224982,399,61,Low
11,MSC DON GIOVANNI,Container Ship,1996,28,29181,41590,203,31,High
12,IONA,Passenger (Cruise) Ship,2020,4,184089,16887,344,42,Low
13,MIA DESGAGNES,Chemical/Oil Products Tanker,2017,7,12061,14986,135,23,High
14,MSC FANTASIA,Passenger (Cruise) Ship,2008,16,137936,13413,333,38,Low
15,CUYAHOGA,Self Discharging Bulk Carrier,1943,81,10532,15850,184,18,High
16,EUROPA,Passenger (Cruise) Ship,1999,25,28890,2557,199,24,Low
17,BERGE SHARI,Bulk Carrier,2016,8,21530,34534,180,30,High
18,GENCO MADELEINE,Bulk Carrier,2014,10,35884,63166,200,32,Low
19,JAG ADITI,Bulk Carrier,2011,13,43790,80325,229,32,High
20,ORE HONG KONG,Bulk Carrier,2018,6,203953,399214,362,65,Low
21,DUBAI CHARM,Crude Oil Tanker,2010,14,63294,115514,250,44,High
22,HAFNIA SHANGHAI,Chemical/Oil Products Tanker,2019,5,43693,74999,228,38,Low
23,HYUNDAI PLATINUM,Container Ship,2013,11,52467,63014,255,37,High
24,HAFNIA PIONEER,Chemical/Oil Products Tanker ,2013,11,45452,81305,228,37,Low
25,QUEEN OF SURREY,Passenger/Ro-Ro Cargo Ship,1981,43,6969,1099,139,28,High
26,BULL KANGEAN,Chemical/Oil Products Tanker,2004,20,25507,38877,174,29,Low
27,CELEBRITY MILLENNIUM,Passenger (Cruise) Ship,2000,24,91011,11928,294,32,High
28,PANCARAN NUSANTARA,Chemical/Oil Products Tanker ,2007,17,25174,38106,182,28,Low
29,RADIANCE OF THE SEAS,Passenger (Cruise) Ship,2001,23,90090,10759,293,40,High
30,PNS SERENA,Crude Oil Tanker,2006,18,157245,300398,330,60,Low
31,POWELL RIVER QUEEN,Passenger/Ro-Ro Cargo Ship,1965,59,1486,460,85,19,High
32,MABROUK,Crude Oil Tanker,2003,21,81866,149962,274,48,Low
33,MTM ANTWERP,Chemical/Oil Products Tanker,2004,20,11628,20704,146,24,High
34,SEA ROSE,Bulk Carrier,2011,13,62272,106668,254,43,Low
35,CHEM NORMA,Chemical/Oil Products Tanker,2009,15,11939,17095,145,23,High
36,MANALAGI ASTI,Bulk Carrier,2000,24,49565,88018,236,38,Low
37,ALGOMA SAULT,Self Discharging Bulk Carrier,2018,6,24640,37411,226,24,High
38,HMM OSLO,Container Ship ,2020,4,232311,229039,400,62,Low
39,KAMINISTIQUA,Bulk Carrier,1983,41,22388,36245,223,23,High
40,BERLIN EXPRESS,Container Ship ,2023,1,229376,229348,400,61,Low
41,EMANUELE S,Chemical/Oil Products Tanker,2007,17,12776,20718,164,23,High
42,BRITANNIA,Passenger (Cruise) Ship,2015,9,143730,11793,329,45,Low
43,SILVER WIND,Passenger (Cruise) Ship,1995,29,17450,1790,156,21,High
44,QUEEN OF THE OCEANS,Passenger (Cruise) Ship,2000,24,77499,8165,261,32,Low
45,RUSTAQ SILVER,Chemical/Oil Products Tanker,2015,9,29354,45923,183,32,High
46,COSCO XING WANG,General Cargo Ship,2020,4,40250,62014,202,32,Low
47,ARGENTIA DESGAGNES,General Cargo Ship,2007,17,6369,8950,119,18,High
48,HERBERT,General Cargo Ship,2022,2,39433,61250,200,32,Low
49,ARAGONA,Bulk Carrier,2015,9,35884,63166,200,32,High
50,COSCO JIN XIU,General Cargo Ship,2019,5,40250,62003,202,32,Low
